system:index,CLOUD_COVER,CLOUD_COVER_LAND,EARTH_SUN_DISTANCE,ESPA_VERSION,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,IMAGE_QUALITY_OLI,IMAGE_QUALITY_TIRS,LANDSAT_ID,LEVEL1_PRODUCTION_DATE,NDVI,PIXEL_QA_VERSION,SATELLITE,SENSING_TIME,SOLAR_AZIMUTH_ANGLE,SOLAR_ZENITH_ANGLE,SR_APP_VERSION,WRS_PATH,WRS_ROW,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_start,system:version,year,.geo
1_1_LC08_223066_20130403,2.57,2.57,0.999982,2_23_0_1a,8.834,6.738,5.713,9.0,9.0,LC08_L1TP_223066_20130403_20170505_01_T1,1.493987531E12,,generate_pixel_qa_1.6.0,LANDSAT_8,2013-04-03T13:24:25.4222820Z,64.556717,31.837811,LaSRC_1.3.0,223.0,66.0,544399775,[NDVI],<Element>,"LinearRing(-49.89689188875864,-9.312086106719764, -49.89766075267683,-9.31596759588084, -48.88781385822521,-9.533778055102287, -48.39619544846213,-9.638610219171763, -48.28050838721476,-9.663153113030216, -48.279874898692064,-9.660550585695939, -48.275654109280254,-9.641811163773882, -48.264594455644676,-9.59049380999123, -48.13831396332967,-9.000263606607886, -48.03160502207995,-8.500224015677667, -48.00585881813028,-8.379429964342199, -47.94282040325594,-8.083566459127848, -47.93234592018788,-8.034277235987823, -47.942870920954434,-8.032028146997899, -49.10274094833617,-7.78515459995012, -49.54130141094249,-7.69084938281316, -49.54259178793863,-7.69085376224042, -49.55522285133692,-7.748621209430717, -49.56754274161109,-7.805090684948068, -49.730309263634226,-8.550871337492287, -49.89689188875864,-9.312086106719764)",LANDSAT/LC08/C01/T1_SR/LC08_223066_20130403,1.36499546542E12,1522723245699906,2013,"{""type"":""Polygon"",""coordinates"":[[[-49.89689188875863,-9.312086106719764],[-49.89766075267683,-9.31596759588084],[-48.88781385822521,-9.533778055102287],[-48.39619544846213,-9.638610219171763],[-48.28050838721476,-9.663153113030216],[-48.27987489869206,-9.660550585695939],[-48.275654109280254,-9.641811163773884],[-48.264594455644676,-9.59049380999123],[-48.13831396332967,-9.000263606607884],[-48.03160502207996,-8.500224015677667],[-48.00585881813028,-8.379429964342199],[-47.94282040325594,-8.083566459127848],[-47.932345920187885,-8.034277235987824],[-47.942870920954434,-8.0320281469979],[-49.10274094833617,-7.78515459995012],[-49.54130141094248,-7.69084938281316],[-49.542591787938626,-7.69085376224042],[-49.555222851336914,-7.748621209430716],[-49.56754274161109,-7.805090684948068],[-49.73030926363423,-8.550871337492287],[-49.89689188875863,-9.312086106719764]]]}"
1_1_LC08_223066_20130609,0.01,0.01,1.015196,2_23_0_1a,9.053,7.155,5.546,9.0,9.0,LC08_L1TP_223066_20130609_20170504_01_T1,1.493874918E12,0.8222587872526822,generate_pixel_qa_1.6.0,LANDSAT_8,2013-06-09T13:27:06.5614650Z,39.861382,41.537659,LaSRC_1.3.0,223.0,66.0,539182074,[NDVI],<Element>,"LinearRing(-50.110390115563256,-7.692754270873723, -50.11379317337713,-7.692082681146213, -50.13615400361104,-7.794695751954775, -50.46599932551521,-9.305046905498877, -50.46599774747389,-9.306100483821977, -50.46332862704398,-9.306759002658467, -50.229116295564054,-9.357543222069294, -49.36999495830092,-9.542335586521936, -48.89423807948902,-9.643640717994215, -48.80806623108458,-9.6619098893758, -48.80746042951252,-9.659437915004215, -48.80358673719729,-9.641600174728428, -48.78809740001097,-9.569287511732108, -48.632726885086825,-8.842044965362394, -48.47575422098697,-8.106185350845408, -48.46279821508289,-8.045263406256128, -48.46280423794206,-8.04429554416776, -48.465568571071536,-8.043624864063586, -48.703506366966515,-7.993326479577694, -49.40848838130952,-7.843378848447771, -50.110390115563256,-7.692754270873723)",LANDSAT/LC08/C01/T1_SR/LC08_223066_20130609,1.37078442656E12,1522723246344504,2013,"{""type"":""Polygon"",""coordinates"":[[[-50.11039011556325,-7.692754270873723],[-50.11379317337713,-7.692082681146213],[-50.13615400361104,-7.794695751954773],[-50.46599932551521,-9.305046905498878],[-50.4659977474739,-9.306100483821979],[-50.463328627043985,-9.306759002658467],[-50.22911629556406,-9.357543222069296],[-49.36999495830093,-9.542335586521935],[-48.89423807948902,-9.643640717994217],[-48.80806623108458,-9.6619098893758],[-48.807460429512524,-9.659437915004213],[-48.80358673719729,-9.64160017472843],[-48.78809740001097,-9.569287511732108],[-48.632726885086825,-8.842044965362392],[-48.47575422098697,-8.106185350845408],[-48.46279821508289,-8.045263406256128],[-48.46280423794206,-8.044295544167761],[-48.465568571071536,-8.043624864063585],[-48.703506366966515,-7.993326479577694],[-49.40848838130952,-7.843378848447771],[-50.11039011556325,-7.692754270873723]]]}"
1_1_LC08_223066_20130625,1.12,1.12,1.016445,2_23_0_1a,8.588,6.753,5.305,9.0,9.0,LC08_L1TP_223066_20130625_20170504_01_T1,1.493863596E12,0.779602978234508,generate_pixel_qa_1.6.0,LANDSAT_8,2013-06-25T13:27:01.6763990Z,40.282486,42.363762,LaSRC_1.3.0,223.0,66.0,561390716,[NDVI],<Element>,"LinearRing(-48.82504874589006,-9.65215909726388, -48.78152280305458,-9.661377922502057, -48.780310705676385,-9.661370122075647, -48.77957132993484,-9.658352026940008, -48.757855069211274,-9.556891870233336, -48.634037113690766,-8.977348293721171, -48.51038300744854,-8.397848236634564, -48.44431083631635,-8.087904636403819, -48.435324288984134,-8.045509965758688, -48.435335109482686,-8.04379367855424, -48.76345454842561,-7.974402560115067, -49.583013441050774,-7.799782521306174, -50.08431764501164,-7.6920805897137505, -50.0859362401235,-7.692084032711445, -50.26165223253323,-8.498253815702531, -50.43825269054553,-9.305684366539708, -50.43728831613684,-9.306161432088821, -49.96233823509169,-9.408953792112563, -48.93559260469517,-9.628705208407325, -48.82504874589006,-9.65215909726388)",LANDSAT/LC08/C01/T1_SR/LC08_223066_20130625,1.37216682168E12,1522723246980036,2013,"{""type"":""Polygon"",""coordinates"":[[[-48.82504874589006,-9.652159097263882],[-48.78152280305458,-9.661377922502057],[-48.78031070567639,-9.661370122075645],[-48.77957132993484,-9.65835202694001],[-48.757855069211274,-9.556891870233336],[-48.634037113690766,-8.977348293721171],[-48.51038300744854,-8.397848236634564],[-48.44431083631635,-8.08790463640382],[-48.43532428898414,-8.045509965758688],[-48.435335109482686,-8.04379367855424],[-48.7634545484256,-7.974402560115067],[-49.583013441050774,-7.799782521306174],[-50.08431764501164,-7.6920805897137505],[-50.0859362401235,-7.692084032711445],[-50.26165223253323,-8.498253815702531],[-50.43825269054553,-9.305684366539708],[-50.43728831613684,-9.306161432088821],[-49.9623382350917,-9.408953792112563],[-48.93559260469517,-9.628705208407325],[-48.82504874589006,-9.652159097263882]]]}"
1_1_LC08_223066_20130711,0.0,0.0,1.016603,2_23_0_1b,8.579,6.826,5.196,9.0,9.0,LC08_L1TP_223066_20130711_20170504_01_T1,1.493856643E12,0.7364409593631246,generate_pixel_qa_1.6.0,LANDSAT_8,2013-07-11T13:27:04.7669710Z,42.385014,41.88113,LaSRC_1.3.0,223.0,66.0,609894757,[NDVI],<Element>,"LinearRing(-48.43014875322581,-7.984410241365833, -48.43767063435199,-7.9827929229697805, -48.60476182726705,-7.94748578628354, -49.2410550838272,-7.812333028373075, -50.079186211542726,-7.6326468108694385, -50.080681099934004,-7.632649998876115, -50.085808582663105,-7.655137094334565, -50.092044509411444,-7.683626533995356, -50.27428532916629,-8.519849037282908, -50.45926792487216,-9.365570953878992, -50.10186432574525,-9.442979453096308, -49.31335990051983,-9.612314904913076, -48.800648085612536,-9.721335513668011, -48.797052433350856,-9.704921702898895, -48.793337983390984,-9.687814667526824, -48.766559130239756,-9.562642029531169, -48.64193378130855,-8.979161213017553, -48.51747520268712,-8.395724044467919, -48.442782479402325,-8.045193626561652, -48.42993381173328,-7.984757256273105, -48.43014875322581,-7.984410241365833)",LANDSAT/LC08/C01/T1_SR/LC08_223066_20130711,1.373549224766E12,1581765563165939,2013,"{""type"":""Polygon"",""coordinates"":[[[-48.43014875322581,-7.984410241365833],[-48.43767063435198,-7.98279292296978],[-48.60476182726705,-7.94748578628354],[-49.2410550838272,-7.812333028373077],[-50.079186211542726,-7.632646810869437],[-50.080681099934004,-7.632649998876113],[-50.085808582663105,-7.655137094334567],[-50.092044509411444,-7.683626533995356],[-50.27428532916629,-8.51984903728291],[-50.45926792487216,-9.365570953878992],[-50.10186432574525,-9.442979453096308],[-49.31335990051983,-9.612314904913077],[-48.800648085612536,-9.721335513668011],[-48.797052433350856,-9.704921702898895],[-48.79333798339099,-9.687814667526824],[-48.76655913023976,-9.562642029531169],[-48.64193378130856,-8.979161213017552],[-48.51747520268712,-8.395724044467919],[-48.44278247940232,-8.045193626561653],[-48.42993381173327,-7.984757256273107],[-48.43014875322581,-7.984410241365833]]]}"
1_1_LC08_223066_20130812,1.45,1.45,1.013256,2_23_0_1a,8.476,6.774,5.095,9.0,9.0,LC08_L1TP_223066_20130812_20170503_01_T1,1.493778826E12,0.6385515547493789,generate_pixel_qa_1.6.0,LANDSAT_8,2013-08-12T13:27:05.8626280Z,50.851921,37.053654,LaSRC_1.3.0,223.0,66.0,632284671,[NDVI],<Element>,"LinearRing(-50.456107690151505,-9.338377976313696, -50.461993991627686,-9.365301273022816, -50.451767975263486,-9.367541694180579, -50.18032690525556,-9.426349282408124, -48.97296577270658,-9.685061339929723, -48.80267530997651,-9.721167337064884, -48.80158172421928,-9.721160298221978, -48.79456194308979,-9.688992043251162, -48.76764820072797,-9.563191302345414, -48.64341869503671,-8.981475284552012, -48.51935508462182,-8.399802643293782, -48.4411490729561,-8.032639273250703, -48.43134294718776,-7.986458595597678, -48.43135201441393,-7.98500395311061, -49.552184762973425,-7.746777467215691, -50.083485467794056,-7.632677547663721, -50.08776150464542,-7.651054897567299, -50.09291797625394,-7.674437721408289, -50.27525541076754,-8.511303679555482, -50.456107690151505,-9.338377976313696)",LANDSAT/LC08/C01/T1_SR/LC08_223066_20130812,1.37631402586E12,1522723249459085,2013,"{""type"":""Polygon"",""coordinates"":[[[-50.456107690151505,-9.338377976313696],[-50.461993991627686,-9.365301273022816],[-50.45176797526348,-9.367541694180579],[-50.18032690525556,-9.426349282408124],[-48.97296577270658,-9.685061339929725],[-48.80267530997651,-9.721167337064884],[-48.80158172421928,-9.72116029822198],[-48.79456194308979,-9.68899204325116],[-48.76764820072797,-9.563191302345414],[-48.643418695036715,-8.981475284552012],[-48.51935508462182,-8.399802643293782],[-48.4411490729561,-8.032639273250705],[-48.43134294718776,-7.986458595597676],[-48.43135201441394,-7.98500395311061],[-49.552184762973425,-7.746777467215691],[-50.083485467794056,-7.632677547663719],[-50.08776150464542,-7.651054897567299],[-50.09291797625394,-7.674437721408289],[-50.27525541076755,-8.511303679555482],[-50.456107690151505,-9.338377976313696]]]}"
1_1_LC08_223066_20130828,0.01,0.01,1.010034,2_23_0_1a,8.463,6.786,5.057,9.0,9.0,LC08_L1TP_223066_20130828_20170502_01_T1,1.49374247E12,0.5880533767441685,generate_pixel_qa_1.6.0,LANDSAT_8,2013-08-28T13:27:08.3573740Z,57.442669,33.254436,LaSRC_1.3.0,223.0,66.0,633923208,[NDVI],<Element>,"LinearRing(-50.09043225979652,-7.634389338783119, -50.097621331035334,-7.632868094842357, -50.098106415664844,-7.633354132621805, -50.09867024809753,-7.6350534671853785, -50.09948263405959,-7.638324484235397, -50.107094791517454,-7.6726538586536766, -50.16961949231103,-7.959929236076897, -50.476291298188094,-9.364159170560095, -50.476289483139055,-9.365363373898589, -50.46370686839456,-9.368120594816107, -50.14505234000459,-9.43711808904314, -49.47913113213349,-9.580262497556653, -48.85636240536058,-9.712824676355332, -48.81609162779111,-9.721347597864385, -48.81076783119252,-9.697145921923687, -48.78265671441642,-9.565727819661806, -48.62610922246958,-8.832513453564786, -48.469811784933675,-8.099370777048945, -48.4457575329834,-7.986361587384754, -48.44576576421851,-7.9850414812388415, -49.06625719705506,-7.853608108260874, -50.09043225979652,-7.634389338783119)",LANDSAT/LC08/C01/T1_SR/LC08_223066_20130828,1.37769642836E12,1522723250112485,2013,"{""type"":""Polygon"",""coordinates"":[[[-50.09043225979652,-7.634389338783119],[-50.097621331035334,-7.6328680948423555],[-50.09810641566485,-7.633354132621805],[-50.09867024809753,-7.6350534671853785],[-50.09948263405959,-7.638324484235398],[-50.107094791517454,-7.6726538586536766],[-50.16961949231103,-7.959929236076897],[-50.4762912981881,-9.364159170560095],[-50.476289483139055,-9.36536337389859],[-50.46370686839456,-9.368120594816107],[-50.14505234000459,-9.43711808904314],[-49.47913113213349,-9.580262497556655],[-48.85636240536058,-9.712824676355332],[-48.81609162779111,-9.721347597864385],[-48.81076783119253,-9.697145921923687],[-48.78265671441642,-9.565727819661808],[-48.62610922246959,-8.832513453564786],[-48.469811784933675,-8.099370777048946],[-48.4457575329834,-7.986361587384752],[-48.445765764218514,-7.985041481238842],[-49.066257197055066,-7.853608108260874],[-50.09043225979652,-7.634389338783119]]]}"
1_1_LC08_223066_20130929,3.17,3.17,1.00165,2_23_0_1a,8.974,7.125,5.455,9.0,9.0,LC08_L1TP_223066_20130929_20170502_01_T1,1.49370026E12,0.6503182780889167,generate_pixel_qa_1.6.0,LANDSAT_8,2013-09-29T13:26:57.8515900Z,77.891266,25.823647,LaSRC_1.3.0,223.0,66.0,640746612,[NDVI],<Element>,"LinearRing(-50.071876875635404,-7.632631154703123, -50.07282335235583,-7.632633201569512, -50.0798354869159,-7.664139224583456, -50.08361735453501,-7.6814380273523835, -50.26327201298684,-8.506397109719018, -50.443552286269984,-9.331303870588187, -50.45105471088588,-9.365624768730708, -50.42557498679829,-9.371158076177984, -49.95969051789934,-9.471888383181984, -48.825195466207276,-9.714254876536291, -48.79243791952153,-9.72118495347008, -48.79201136055,-9.720933892936777, -48.786412173479775,-9.695471501258472, -48.6473754714204,-9.044267959968828, -48.50903731769787,-8.395399673795929, -48.4413836439984,-8.077776117401473, -48.4218294314114,-7.985649076416885, -48.42183765906701,-7.984342763701551, -49.932114437430954,-7.662703263034087, -50.071876875635404,-7.632631154703123)",LANDSAT/LC08/C01/T1_SR/LC08_223066_20130929,1.38046121785E12,1522723251889398,2013,"{""type"":""Polygon"",""coordinates"":[[[-50.071876875635404,-7.632631154703123],[-50.07282335235584,-7.632633201569511],[-50.079835486915904,-7.664139224583456],[-50.08361735453501,-7.681438027352383],[-50.26327201298684,-8.506397109719018],[-50.443552286269984,-9.331303870588187],[-50.45105471088588,-9.365624768730708],[-50.42557498679828,-9.371158076177982],[-49.95969051789934,-9.471888383181984],[-48.825195466207276,-9.714254876536295],[-48.79243791952153,-9.721184953470082],[-48.79201136054999,-9.720933892936777],[-48.786412173479775,-9.695471501258474],[-48.6473754714204,-9.044267959968826],[-48.509037317697874,-8.395399673795929],[-48.4413836439984,-8.077776117401473],[-48.4218294314114,-7.985649076416885],[-48.42183765906701,-7.984342763701551],[-49.932114437430954,-7.662703263034087],[-50.071876875635404,-7.632631154703123]]]}"
1_1_LC08_223066_20140612,0.0,0.0,1.015429,2_23_0_1a,9.157,7.199,5.66,9.0,9.0,LC08_L1TP_223066_20140612_20170422_01_T1,1.492824034E12,0.7909378649730859,generate_pixel_qa_1.6.0,LANDSAT_8,2014-06-12T13:24:47.3020750Z,40.372986,42.133789,LaSRC_1.3.0,223.0,66.0,595678752,[NDVI],<Element>,"LinearRing(-50.467385808154795,-9.353560815712626, -50.46992609025787,-9.365250953965552, -50.44967103930504,-9.369688793180398, -49.909364321337804,-9.486656870319253, -49.158758326738244,-9.647596858214657, -48.810723258646725,-9.72159520084883, -48.80556842522739,-9.698197388364322, -48.66790130896901,-9.054702474280106, -48.530445269607995,-8.411259384913357, -48.46303646159636,-8.09526218237803, -48.43977557973659,-7.986170704422905, -48.43978320042224,-7.9849448640676615, -48.64395862481203,-7.941744772644154, -49.02161408761121,-7.861536748237972, -49.92121992940476,-7.668916602595811, -50.08940277630061,-7.632668484986264, -50.0909466944281,-7.632671697392828, -50.09348928904446,-7.643197025347093, -50.100494563149276,-7.674961293031432, -50.283022910384815,-8.511589340858041, -50.467385808154795,-9.353560815712626)",LANDSAT/LC08/C01/T1_SR/LC08_223066_20140612,1.4025794873E12,1538943212710860,2014,"{""type"":""Polygon"",""coordinates"":[[[-50.4673858081548,-9.353560815712626],[-50.46992609025787,-9.36525095396555],[-50.449671039305045,-9.369688793180398],[-49.909364321337804,-9.486656870319255],[-49.15875832673824,-9.647596858214657],[-48.81072325864673,-9.72159520084883],[-48.80556842522739,-9.698197388364322],[-48.66790130896901,-9.054702474280106],[-48.530445269607995,-8.411259384913357],[-48.46303646159636,-8.09526218237803],[-48.4397755797366,-7.986170704422905],[-48.43978320042224,-7.9849448640676615],[-48.64395862481203,-7.941744772644154],[-49.02161408761121,-7.861536748237972],[-49.92121992940476,-7.668916602595811],[-50.08940277630061,-7.632668484986265],[-50.0909466944281,-7.632671697392828],[-50.09348928904446,-7.643197025347093],[-50.100494563149276,-7.674961293031432],[-50.283022910384815,-8.511589340858041],[-50.4673858081548,-9.353560815712626]]]}"
1_1_LC08_223066_20140714,6.88,6.88,1.016446,2_23_0_1a,8.734,7.056,5.147,9.0,9.0,LC08_L1TP_223066_20140714_20170421_01_T1,1.492759677E12,0.7206074334153529,generate_pixel_qa_1.6.0,LANDSAT_8,2014-07-14T13:24:57.5834220Z,43.407818,42.021435,LaSRC_1.3.0,223.0,66.0,625500369,[NDVI],<Element>,"LinearRing(-48.432091036470524,-7.998284763458265, -48.42929242095045,-7.98505478395016, -48.430649499301495,-7.984613189497561, -48.500193481506024,-7.969914663623253, -49.64309436307175,-7.726458240989524, -50.08086864964269,-7.632277556727542, -50.085312148255795,-7.6518643971726075, -50.08908369329558,-7.668967692210811, -50.093124385414406,-7.6874275563340335, -50.276045299640536,-8.526093087685158, -50.45972653442414,-9.36519531710209, -50.44328482696811,-9.368797249315076, -49.95722476209807,-9.474051450580369, -48.80195849766129,-9.721162765041894, -48.8002150212487,-9.721151512135616, -48.79296241817634,-9.687902391212603, -48.7575339289807,-9.522454151177365, -48.63649185837819,-8.956215756122823, -48.51560568676915,-8.390018894940223, -48.44503745710503,-8.059092881268159, -48.432091036470524,-7.998284763458265)",LANDSAT/LC08/C01/T1_SR/LC08_223066_20140714,1.40534429758E12,1522723260344150,2014,"{""type"":""Polygon"",""coordinates"":[[[-48.432091036470524,-7.998284763458265],[-48.429292420950446,-7.98505478395016],[-48.430649499301495,-7.984613189497563],[-48.50019348150602,-7.969914663623252],[-49.64309436307175,-7.726458240989526],[-50.08086864964268,-7.632277556727542],[-50.085312148255795,-7.651864397172606],[-50.08908369329558,-7.668967692210809],[-50.093124385414406,-7.687427556334033],[-50.276045299640536,-8.526093087685158],[-50.45972653442415,-9.36519531710209],[-50.44328482696812,-9.368797249315076],[-49.95722476209807,-9.47405145058037],[-48.80195849766129,-9.721162765041893],[-48.8002150212487,-9.721151512135615],[-48.79296241817634,-9.687902391212603],[-48.7575339289807,-9.522454151177367],[-48.6364918583782,-8.956215756122823],[-48.51560568676914,-8.390018894940221],[-48.44503745710503,-8.059092881268159],[-48.432091036470524,-7.998284763458265]]]}"
1_1_LC08_223066_20140730,1.86,1.86,1.0152,2_23_0_1a,8.762,7.039,5.219,9.0,9.0,LC08_L1TP_223066_20140730_20170420_01_T1,1.492725854E12,0.6779514674946503,generate_pixel_qa_1.6.0,LANDSAT_8,2014-07-30T13:25:02.4821750Z,47.16209,39.984501,LaSRC_1.3.0,223.0,66.0,629250568,[NDVI],<Element>,"LinearRing(-48.42690910028588,-7.985046640989745, -48.43310628411449,-7.983714200727981, -48.52089144124414,-7.96515883470976, -49.66269146543204,-7.721907962514215, -50.07822693384779,-7.632514539491385, -50.08410679642737,-7.65839418121096, -50.089866229912666,-7.684707296186839, -50.27304980112958,-8.524595098770034, -50.457049716379096,-9.36516968434905, -50.45559830299542,-9.365647736731608, -50.43944713815926,-9.36918581622741, -50.19946562896193,-9.421238126578348, -48.947519260779906,-9.68979118891182, -48.81248033363967,-9.718451482060383, -48.7984565657246,-9.721411369253577, -48.79752397615685,-9.721405355893415, -48.79285880648765,-9.70032842604813, -48.624766531264775,-8.914115479975612, -48.457906346105794,-8.132371840601609, -48.44575128334275,-8.075363637439434, -48.42665287717782,-7.985614170522497, -48.42690910028588,-7.985046640989745)",LANDSAT/LC08/C01/T1_SR/LC08_223066_20140730,1.40672670248E12,1522723260867025,2014,"{""type"":""Polygon"",""coordinates"":[[[-48.42690910028588,-7.985046640989745],[-48.43310628411449,-7.983714200727981],[-48.520891441244146,-7.96515883470976],[-49.66269146543203,-7.721907962514215],[-50.07822693384779,-7.632514539491385],[-50.08410679642737,-7.65839418121096],[-50.089866229912666,-7.684707296186839],[-50.273049801129574,-8.524595098770034],[-50.457049716379096,-9.36516968434905],[-50.455598302995426,-9.365647736731608],[-50.43944713815926,-9.369185816227413],[-50.199465628961924,-9.421238126578348],[-48.947519260779906,-9.68979118891182],[-48.81248033363967,-9.718451482060383],[-48.7984565657246,-9.721411369253579],[-48.79752397615685,-9.721405355893415],[-48.79285880648765,-9.70032842604813],[-48.624766531264775,-8.914115479975612],[-48.457906346105794,-8.132371840601609],[-48.44575128334275,-8.075363637439434],[-48.42665287717782,-7.985614170522495],[-48.42690910028588,-7.985046640989745]]]}"
