"CLOUD_COVER";"GEOMETRIC_RMSE_MODEL";"GEOMETRIC_RMSE_MODEL_X";"GEOMETRIC_RMSE_MODEL_Y";"index";"SATELLITE";"SOLAR_AZIMUTH_ANGLE";"SOLAR_ZENITH_ANGLE";"WRS_PATH";"WRS_ROW";"year";"Date";"index_type"
0,01;9,053;7,155;5,546;0,822258787252682;"LANDSAT_8";39,861382;41,537659;223;66;2013;2013-06-09;"NDVI TEI 567027-C"
1,12;8,588;6,753;5,305;0,779602978234508;"LANDSAT_8";40,282486;42,363762;223;66;2013;2013-06-25;"NDVI TEI 567027-C"
0;8,579;6,826;5,196;0,736440959363125;"LANDSAT_8";42,385014;41,88113;223;66;2013;2013-07-11;"NDVI TEI 567027-C"
1,45;8,476;6,774;5,095;0,638551554749379;"LANDSAT_8";50,851921;37,053654;223;66;2013;2013-08-12;"NDVI TEI 567027-C"
0,01;8,463;6,786;5,057;0,588053376744168;"LANDSAT_8";57,442669;33,254436;223;66;2013;2013-08-28;"NDVI TEI 567027-C"
3,17;8,974;7,125;5,455;0,650318278088917;"LANDSAT_8";77,891266;25,823647;223;66;2013;2013-09-29;"NDVI TEI 567027-C"
0;9,157;7,199;5,66;0,790937864973086;"LANDSAT_8";40,372986;42,133789;223;66;2014;2014-06-12;"NDVI TEI 567027-C"
6,88;8,734;7,056;5,147;0,720607433415353;"LANDSAT_8";43,407818;42,021435;223;66;2014;2014-07-14;"NDVI TEI 567027-C"
1,86;8,762;7,039;5,219;0,67795146749465;"LANDSAT_8";47,16209;39,984501;223;66;2014;2014-07-30;"NDVI TEI 567027-C"
0;8,945;7,378;5,058;0,62319090815394;"LANDSAT_8";52,334061;36,826172;223;66;2014;2014-08-15;"NDVI TEI 567027-C"
9,11;9,39;7,682;5,4;0,681571620229188;"LANDSAT_8";68,42852;29,006077;223;66;2014;2014-09-16;"NDVI TEI 567027-C"
0,28;9,17;7,066;5,844;0,810646963722703;"LANDSAT_8";41,404537;40,851189;223;66;2015;2015-05-30;"NDVI TEI 567027-C"
5,3;9,201;7,164;5,774;0,783327513219501;"LANDSAT_8";40,469868;42,395061;223;66;2015;2015-06-15;"NDVI TEI 567027-C"
0;9,033;7,217;5,432;0,724619690653908;"LANDSAT_8";44,042629;41,823967;223;66;2015;2015-07-17;"NDVI TEI 567027-C"
0;8,794;6,919;5,428;0,677239948740777;"LANDSAT_8";48,020329;39,569389;223;66;2015;2015-08-02;"NDVI TEI 567027-C"
0;8,536;6,654;5,346;0,634773679641184;"LANDSAT_8";53,455566;36,25338;223;66;2015;2015-08-18;"NDVI TEI 567027-C"
0,54;8,848;7,079;5,308;0,603438866694868;"LANDSAT_8";60,687901;32,316612;223;66;2015;2015-09-03;"NDVI TEI 567027-C"
0,09;8,92;7,316;5,104;0,607737768952439;"LANDSAT_8";70,329971;28,423492;223;66;2015;2015-09-19;"NDVI TEI 567027-C"
0,21;9,032;7,279;5,347;0,451537063527262;"LANDSAT_8";82,727135;25,400063;223;66;2015;2015-10-05;"NDVI TEI 567027-C"
1,41;9,165;7,287;5,558;0,478250893156036;"LANDSAT_8";96,828125;24,041763;223;66;2015;2015-10-21;"NDVI TEI 567027-C"
3,43;9,22;6,941;6,068;0,756851700355591;"LANDSAT_8";103,463684;31,560776;223;66;2016;2016-02-10;"NDVI TEI 567027-C"
1;9,264;7,185;5,848;0,829163806123332;"LANDSAT_8";43,788235;38,845612;223;66;2016;2016-05-16;"NDVI TEI 567027-C"
1,83;8,727;6,767;5,51;0,810592734773031;"LANDSAT_8";40,394749;42,471741;223;66;2016;2016-06-17;"NDVI TEI 567027-C"
0;8,893;6,876;5,639;0,779157580200529;"LANDSAT_8";41,690498;42,631371;223;66;2016;2016-07-03;"NDVI TEI 567027-C"
0;8,899;7,073;5,401;0,728438728389789;"LANDSAT_8";44,525513;41,448513;223;66;2016;2016-07-19;"NDVI TEI 567027-C"
0;8,934;6,903;5,671;0,693653229542437;"LANDSAT_8";48,750393;38,989616;223;66;2016;2016-08-04;"NDVI TEI 567027-C"
5,14;8,748;6,74;5,576;0,627125937193026;"LANDSAT_8";54,46497;35,527973;223;66;2016;2016-08-20;"NDVI TEI 567027-C"
0,08;9,071;7,35;5,315;0,587845812082968;"LANDSAT_8";62,083248;31,54903;223;66;2016;2016-09-05;"NDVI TEI 567027-C"
1,7;9,233;7,13;5,866;0,829173538765927;"LANDSAT_8";99,233124;23,942055;223;66;2016;2016-10-23;"NDVI TEI 567027-C"
0,12;9,48;7,328;6,014;0,77051397266755;"LANDSAT_8";48,146221;36,655979;223;66;2017;2017-05-03;"NDVI TEI 567027-C"
12,79;9,613;7,086;6,496;0,803742544662485;"LANDSAT_8";43,128284;39,282784;223;66;2017;2017-05-19;"NDVI TEI 567027-C"
8,58;9,357;7,41;5,714;0,74917399463806;"LANDSAT_8";40,508995;42,600277;223;66;2017;2017-06-20;"NDVI TEI 567027-C"
0;9,051;7,022;5,711;0,724549945064378;"LANDSAT_8";42,093647;42,53669;223;66;2017;2017-07-06;"NDVI TEI 567027-C"
2,95;9,104;7,09;5,711;0,682139336936058;"LANDSAT_8";45,17329;41,123631;223;66;2017;2017-07-22;"NDVI TEI 567027-C"
1,17;9,131;7,339;5,432;0,591798617541995;"LANDSAT_8";55,650166;34,880295;223;66;2017;2017-08-23;"NDVI TEI 567027-C"
4,95;8,879;6,919;5,564;0,380255429325127;"LANDSAT_8";63,65202;30,875648;223;66;2017;2017-09-08;"NDVI TEI 567027-C"
1,93;9,297;7,439;5,575;0,388884183029559;"LANDSAT_8";74,265434;27,187992;223;66;2017;2017-09-24;"NDVI TEI 567027-C"
9,17;9,146;6,678;6,249;0,852572020545547;"LANDSAT_8";88,593369;30,966377;223;66;2018;2018-03-03;"NDVI TEI 567027-C"
0,01;9,288;7,128;5,956;0,830993775016921;"LANDSAT_8";47,150749;37,16785;223;66;2018;2018-05-06;"NDVI TEI 567027-C"
8,24;8,85;6,569;5,93;0,776340197034332;"LANDSAT_8";40,734879;41,828705;223;66;2018;2018-06-07;"NDVI TEI 567027-C"
0;8,866;6,743;5,755;0,770432266747666;"LANDSAT_8";40,846138;42,806698;223;66;2018;2018-06-23;"NDVI TEI 567027-C"
0;9,135;7,103;5,745;0,732320575135;"LANDSAT_8";42,688072;42,505852;223;66;2018;2018-07-09;"NDVI TEI 567027-C"
0,99;9,128;6,817;6,07;0,689081955215746;"LANDSAT_8";46,000771;40,866608;223;66;2018;2018-07-25;"NDVI TEI 567027-C"
5,62;9,283;7,226;5,827;0,560376570491859;"LANDSAT_8";65,390244;30,310036;223;66;2018;2018-09-11;"NDVI TEI 567027-C"
0,77;9,16;6,92;6,001;0,825208358332393;"LANDSAT_8";46,087643;37,578091;223;66;2019;2019-05-09;"NDVI TEI 567027-C"
3,07;9,45;7,457;5,804;0,784433757169294;"LANDSAT_8";40,408348;41,947231;223;66;2019;2019-06-10;"NDVI TEI 567027-C"
0;9,12;7,26;5,519;0,776434193644944;"LANDSAT_8";40,853188;42,717926;223;66;2019;2019-06-26;"NDVI TEI 567027-C"
0;8,84;7,007;5,39;0,743841817007375;"LANDSAT_8";42,979294;42,189018;223;66;2019;2019-07-12;"NDVI TEI 567027-C"
0,22;9,234;7,534;5,339;0,705046980030744;"LANDSAT_8";46,533131;40,320995;223;66;2019;2019-07-28;"NDVI TEI 567027-C"
0,31;8,88;7,016;5,445;0,654724266138454;"LANDSAT_8";51,497524;37,295666;223;66;2019;2019-08-13;"NDVI TEI 567027-C"
0,05;9,149;7,149;5,71;0,610649511540168;"LANDSAT_8";58,121357;33,488621;223;66;2019;2019-08-29;"NDVI TEI 567027-C"
0,39;9,435;7,359;5,904;0,575899783217175;"LANDSAT_8";66,959335;29,49461;223;66;2019;2019-09-14;"NDVI TEI 567027-C"
12,63;9,356;6,654;6,578;0,825295331825271;"LANDSAT_8";45,231758;38,064034;223;66;2020;2020-05-11;"NDVI TEI 567027-C"
0;9,217;6,891;6,121;0,789923461589027;"LANDSAT_8";40,381138;42,185982;223;66;2020;2020-06-12;"NDVI TEI 567027-C"
0;9,011;7,038;5,627;0,760765837615532;"LANDSAT_8";41,141487;42,746819;223;66;2020;2020-06-28;"NDVI TEI 567027-C"
0,01;9,137;7,081;5,775;0,724993638125609;"LANDSAT_8";43,517551;41,97879;223;66;2020;2020-07-14;"NDVI TEI 567027-C"
0;9;7,147;5,471;0,68187049716518;"LANDSAT_8";47,313473;39,895908;223;66;2020;2020-07-30;"NDVI TEI 567027-C"
0;8,799;6,82;5,56;0,643031684028093;"LANDSAT_8";52,52998;36,700417;223;66;2020;2020-08-15;"NDVI TEI 567027-C"
0;8,919;6,985;5,545;0,400607940616014;"LANDSAT_8";68,770477;28,862339;223;66;2020;2020-09-16;"NDVI TEI 567027-C"
